Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load
0.6460218265559116,858.1745946897851,401.8151587011926,156.57737971848297,7.0,270,0.19949820203441454,0,32.74134170331431,16.330267626849082
0.8436266157117925,748.2751522852066,264.4630544575639,218.1639872858319,7.0,0,0.098820897597229,4,6.44214149318726,30.619139399692127
0.6533563856743952,641.1305272252121,264.8657484096177,133.6262384646313,3.5,90,0.04064725756929808,3,6.283689149152914,18.498983489916633
0.6962358479861395,667.5657334581638,303.48937485659815,217.07307963150612,7.0,270,0.27222835616334884,2,38.620250132831636,23.793284089640142
0.7308556223244559,602.5957017513784,339.2960705096124,182.15113445198728,7.0,90,0.252550762441785,2,24.0173558095858,38.59250850470415
0.9436549963794391,518.2799421073322,296.8242163925813,125.13178593709645,3.5,180,0.1347832031155677,1,9.048560231728183,39.71612874550665
0.8664360852392103,519.6970971808281,325.5059779824572,205.47418360355937,3.5,90,0.2379880561539582,3,15.604378084674655,14.987169522009516
0.8164648849133616,838.449764198734,403.3315466366532,173.256097575311,3.5,180,0.21861633748725862,0,34.97621613727506,21.81129416252067
0.6116055297697441,645.4528502536408,319.40261714994887,189.65237168169324,3.5,90,0.19341821600619144,2,6.367957673442852,31.971566316692584
0.8934993185121132,758.3556337798457,389.7212722897126,133.24099032062375,7.0,90,0.3151172662732993,3,36.63011079199514,18.13160291234605
0.7579800073724023,732.3412462185605,390.506860699879,212.70818857348024,3.5,0,0.2800569014198319,1,29.10251798941748,11.32611598694545
0.9208188474514666,677.9612933181505,283.8551056058075,126.37391115803324,7.0,0,0.24584642990332412,2,21.65307215087717,30.402452624444834
0.7017684503439517,627.4077025570891,392.65386636885603,189.24280783786128,3.5,270,0.04843504635482159,4,36.038937471425015,21.918612716937634
0.6227539746604607,680.3092177325753,353.55183945290725,153.9212955423533,3.5,0,0.2541697316377109,1,6.321611908707913,44.823853596708304
0.9466594563596801,701.6667543631454,290.0988580076351,154.18851852383918,3.5,90,0.04014668146754068,3,24.369910256905047,35.02864187222763
0.6884115983537485,853.9268292102205,311.68687739288976,207.44989271805903,7.0,180,0.32742164170475974,3,12.210994178948154,24.718844293208157
0.7619957792189038,611.5890150479362,410.7699444400167,121.89012954951589,3.5,270,0.0896740855676495,5,22.725457061894936,31.252689370133403
0.7264385884072835,548.331883801668,245.97255379499708,149.5902504144792,3.5,0,0.08396568516163012,4,40.21658196291678,35.3414873143127
0.6306650799985789,898.3155427577351,248.9521649379173,173.77067214268388,7.0,180,0.08348126786777876,0,14.618421429645911,29.832887054205077
